Timestamp,Username,Which partner(s) do you represent?,What partner role do you have?,Which WPs are you involved in?,"Do you mainly work with SME Industry, Large Industry, University, or Research Institute",Please select your experience in the key areas of the project: years of experience in DevOps,Please select your experience in the key areas of the project: years of experience in MDE,Please select your experience in the key areas of the project: years of experience in AI,"Which solution(s) were you involved in developing, integrating, or using?",In which domain(s) are you applying or developing solutions?,Main achievements on the project level for your solutions?,"Can you describe one to three key challenges you have overcome in developing, using, or integrating the solutions? How did you overcome them?","Can you describe the issues you encountered, if any? How did you overcome them, if so?","Is the AIDOaRt architecture clear and understandable? (e.g., all components are well described)","Is the AIDOaRt architecture easy to use and explore? (e.g., easy to relate your UC requirements or solutions to the architecture components)",Do you believe the architecture can be easily extended or used outside the scope of the AIDOaRt project? ,"Please, provide any justifications about the previous answers, and any comments or suggestions about the architecture. ","Has the way we organized the architecture helped ensure quality in your solutions/use cases developed? (e.g.,  collecting requirements and KPI, and mapping requirements, solutions, and components)",Any comment on the previous question?,"Did the mapping collected within the architecture help identify potential collaborations? (i.e., looking for solutions/requirements mapped to the same architecture components instead of an exhaustive search across the large set of solutions and requirements)",Any comment on the previous question?,Has the AIDOaRt iterative architecting process helped to provide quality in the implemented solutions/tools?,Any comment on the previous question?,Did formalizing/defining the requirements and capabilities/interfaces help define the scope of the solution?,Any comment on the previous question?,"Was it helpful to have requirements mapping to achieve desired outcomes (e.g., KPIs)?",Any comment on the previous question?,Have you developed any solution/tool in AIDOaRt?,"If yes, what are your experiences of developing this solution?",Have you integrated a solution/tool in AIDOaRt?,"If yes, what are your experiences of integrating this solution?",Have you used any solution/tool in AIDOaRt?,"If yes, what are your experiences of using this solution?","What are your experiences, good or bad, on working with ""Modeling and Model-Driven Engineering"" in AIDOaRt?  (e.g., on the use of model-based and model-driven methodology and techniques, modelling activities, …)","What are your experiences, good or bad, on working with ""Requirements Engineering"" in AIDOaRt?  (e.g., model-based requirement engineering process adopted in WP1, …)","What are your experiences, good or bad, on working with ""Continuous Software and System Engineering"" in AIDOaRt? (e.g., DevOps phases)","What are your experiences, good or bad, on working with ""Intelligence and Automation"" in AIDOaRt? (e.g., adoption of new AI methods, applications, training, ...) ","What are your experiences, good or bad, on working with ""Data"" in AIDOaRt?  (e.g., formats and standards, data availability, AIDOaRt data model, training, ...) ","What are your experiences, good or bad, on working with ""AIDOaRt framework"" in AIDOaRt  (e.g., how AIDOaRt framework facilitate development of solutions, integration, adoption of specific or innovative solutions, ...) ?","Overall, based on your experiences in AIDOaRt, what could be done better in any future project?","Did AIDOaRt lead to new ideas or new potential collaborations? Please describe briefly how you reached this collaboration, and on a high-level, what you consider collaborating on."
2024/02/19 5:41:25 pm EET,xxxxxx@xxx.xxx,xxxxxx,Use case provider,WP2;WP4;WP5;WP6,Large Industry,10-15 years,1-3 years,3-5 years,xxxxxx,Digital Life;Communication equipment,Industrial applications;Technological achievements;Improvements in competence or experience;New knowledge;Technical speed-up;Cooperations or collaborations;Publications,"(1) Getting good data from the company to the academic partners. Sometimes this was very  slow, and we had no good process for this when the project started. Over time we built this process with information security workshops. We also published two open data sets in the project, and we used these in hackathons and also in collaborations. 
(2) When it comes to integrating solutions in our environment, it was difficult to know beforehand what parameters we should use -- how should data be partitioned for the results to be meaningful, etc.
(3) Staffing was sometimes tough. I could have easily put two developers and a PhD student to work full time for three years, but I did not get that kind of resources to work in the project, so prioritization was hard.","As I wrote in the previous answer, we had a challenge in getting data. This was resolved by anonymization and cleaning of data, as well as going through information security risk analysis workshops. 
When it comes to staffing we got better over time at allocating time to the project, but we also reduced our effort and gave some of our time to another partner.","I did not understand it at all at first, but over time I like it more and more. Now I think it's OK.",,,,"I think that requirements has helped us think about the common problem (in all of AIDOaRt) instead of just focusing on small problems. So it has been good for the project, and perhaps it has also helped somewhat with the quality as well.",,Not so much in my experience.,,"I don't think I was so involved in this, so I don't really know.",,"I know I cared a lot about the data formats, and the formalism in the data formats was helpful.",,"I think it will be hard to go back to the KPIs, but I guess it's helpful with the mapping.",,No,,Yes,"This required some work. The application was containerized and we had to standardize some interfaces, and clean up some code, so that part was relatively easy. We also made a small front-end to the tool so that we could look at results. The challenging part was to set parameters and how to partition data for it. I'm still not sure we did what is best here.",Yes,"I was quite skeptic of AI before AIDOaRt, but this tools have showed that it can be really helpful. With some more minor changes this tool could be used quite a bit among colleagues.","I had no experience at all of MDE before AIDOaRt. We did not plan to work on it. But we took the opportunity and now have a master student work on this for us. I hope to learn, and I hope that the company learns as well.","I only worked with RE for the project, and did not work with RE of our solutions. However, again we were opportunistic and will try to start a collaboration with RISE and MDU to look at some of our requirements and see if the have quality or ambiguities. This is under start-up, and hopefully we can participate with something before end of project.","This was at the core or our use case. We aim to speed up the DevOps phases by introducing AI tools. The experience is that we need very much data, it's a big pain to collect it, store it, and then parse it and format it. But when that is done, we can have great use of AI in the DevOps pipeline, in particular when it comes to analyzing results, similarities, etc. In other words, we start with AI that perceives (""there seems to be a problem""). We hope that we can also reach some experience of AI that predicts in AIDOaRt (""I think this will be a problem""). In some future project, perhaps we can get to an AI that will prescribe (""do this to avoid the coming problem"").","Everything we have done has been for automation. My experience is that the border between automation in general and AI-powered automation is not always very clear. Also, it seems that any automation needs to be monitored. E.g., is the process green because no problem was found or because the AI-application crashed and was unable to look for problems?","As I have written above, this was a big problem for us. We have a lot of company data, but when we wanted to share it with academic partners, decision-makers sometimes said no, and we had to put in a lot of time in cleaning data. In the end we also published two open data sets, and this made things a lot more easy.

Another problem was for data to never leave the office, colleagues were always paranoid that an AI application would live in some cloud server somewhere such that our data might have to travel far and leak.","I think this is a bit hard. I have been living in my own bubble for quite a bit, and focused very much on our use case - so I don't think I have a good answer to this question.","Perhaps there were too many partners? It's hard to see that we are all working on the same problem?

Also, as a use case provider, I don't really know if I should work in all work packages, or in just a few -- it seems we have been involved everywhere.","Yes absolutely. We became quite close to partners that were already close. In the first AIDOSec application we also had concrete plans on how we could collaborate with partners looking at things in AIDOaRt that we wanted to look at in AIDOaRt, e.g. fuzz testing.

Also, during AIDOaRt, we were opportunists and collaborated with partners we had not initially planned to work with. One factor for success was the Hackathons and open data. We asked some partners about a potential problem in an open data set, which led to some work in a Hackathon, and this later led to a publication that they drove, and an extension of one of their tools."
2024/02/20 8:20:06 am EET,xxxxxx@xxx.xxx,xxxxxx,Use case provider,WP1;WP4;WP5,University,1-3 years,1-3 years,1-3 years,xxxxxx,Construction;Manufacturing,Technological achievements;Improvements in competence or experience;New knowledge;Cooperations or collaborations;Publications,"(1) Tuning academic solutions towards industrial data availability. This was solved using generated data. (2) Integrating DevOps in vendor locked tool environment. This was solved using emerging standards for standalone models. (3) Communication and coordination in collaboration with several solution partners for one use case partner. This was solved by having joint weekly meetings. In this way, there was transparent collaboration and several internal collaborations could emerge and made communication more efficient.","See above. On a holistic level many minor issues can be attributed to the differences in expectations and goals in the project. With re-occuring meetings and transparent discussions this became less of an issue, e.g, partners being honest with what type of publication they would like to make upfront so there could be a discussion and planning OR that the use case partner was clear what kind of solutions would be interesting from start and assisted in tuning challenges to find a better match in case there was a misalignment. In essence, communication, transparency, and a willingness to compromise.","To me the figure makes sense, but I have a hard time placing it in terms of the collaboraiton I have been part of as a UCP.",,,,"I would not say it has helped in my case for the solutions/use case itself, BUT it has helped with reporting.",,"Not from my side, it has rarely been discussed.",,"Similar as above, it has helped with reporting, but not the actual colab/development. If we had spent more effort early to focus on this architecture it might have helped more in that regard.",,"No, but probably it could! We just did not focus on it.",,"Yes, for the reporting it has been very useful, as that has made us ""honest"" when making solutions to always refer back to what we need to report in the end.",,Maybe,"I have been part developing tools as the UCP. My experiences has mostly been good, I feel that there has been good collaborations in the project, but at some points the project has felt as a low priority for partners.",Maybe,"Not sure if this refers to the AIDOaRt architecture, if so, NO. If referring to use case, then YES. The experiences has been as expected, tough at points due to aligning different ""silos"" but no major issues.",Yes,I have used all of the solutions in the use case as part of demoing. For me the solutions have been mostly straightforward to use as there often has been a lot of documentation or help to get when there has been issues.,"Mostly good, I have enjoyed using Modelio as our reporting tool, and in our use case that is the foundation of the different interacting technologies. ",Neither good or bad.,"It has been interesting, but it has been hard to apply strictly. But the notion of DevOps has been very insightful for me personally and for the use case. ","I find they have been a bit rough. It has been difficult to find good applications even though we have had the ideas and data needed. I think it would require a more focused project or more extensive work to truly integrate AI well in the use cases I have participated in, which is a shame. ","This has been good, I feel that the data formats/standards have been the most important part of the project for all of the other pillars. In our use cases we have spent efforts in applying various standards and common platforms so that data can freely be exchanged between different components in our solution framework.",I have no real opinion on this.,"I would reduce scope. I would make the first hackathon more streamlined for UCP by requiring a set of specific inputs, E.g, examples/data/descriptions and so forth. At some point we did a mapping of UCs to solutions in terms of if they could be interesting for the UCs. I think that activity should be part of a first hackathon, so that already at that stage are UCs and solutions already defined for inputs/outputs. There has been a lot of time spent from the UC side to understand solution limitations/conditions AFTER we started colab. It would be good if that could be someway clear BEFORE. Mostly I think it has been a good avenue for collaboration, but from my side it could have started earlier with a bit more clarity from both UC and SP perspective early on.",Yes. Both internally and externally to the project. Since there has been so many interactions with different people in the project there has been many opportunities to find common problem or research directions through hackathon discussions or other discussions at plenary meetings. 
2024/02/28 9:07:50 am EET,xxxxxx@xxx.xxx,xxxxxx,Use case provider;Solution provider,WP1 - Use Cases Analysis and AIDOaRT Solution Architecture;WP2 - AIDoaRT Data Collection and Representation;WP4 - AIDOaRT AI-augmented toolkit;WP5 - Integration and Use Case Evaluation;WP6 - Dissemination and Exploitation;WP7 - Project Management and Coordination,SME Industry,1-3 years,1-3 years,1-3 years,xxxxxx,Maritime,Industrial applications;Improvements in competence or experience;New knowledge;Cooperations or collaborations,"Anomaly detection, improved positioning of port elements and cargo simulation in port infrastructure. All of these have been overcome through collaboration with partners in the different use case scenarios.","The fundamental problem was the lack of real data, which was overcome by the use of synthetic data for testing.",4,4,4,The architecture developed in the project is clear and it is easy to understand the interrelationships between the different elements. It also has a level of generality that allows it to be adapted to other environments outside the project.,4,,4,,4,,3,,4,,Yes,Our case is quite particular since the tool developed was more for internal use than for use by other partners.,Yes,"Thanks to the collaboration with the partners, it was easy as they were very helpful.",No,,"As I didn't have much experience in this field, the experience was very positive and allowed me to learn a lot in this field.",I find requirements engineering a very interesting technique because it can help me a lot in my work.,"Due to the little experience I had in this field, working with this technique has been very interesting and I have learned a lot. I also think it is a very attractive approach for all people working in this field.","It has been a very positive experience where I have been able to see first-hand many of the capabilities that AI offers, although I have also seen how difficult it is to obtain good results without the correct use of the tools.","This is a much more everyday problem for me, and the experience is complicated by the fact that in my field the scarcity and heterogeneity of data makes it very difficult to develop and use new tools.","The project consists of very diverse and heterogeneous partners, so I think the framework helps us all to work in a more orderly way and facilitates the tasks of justification and reporting as well as the relationship between tools and partners.",I think that the way deliverables are prepared could be improved by giving them a more unified format to facilitate the work of the reviewers. Although I also think that there has been a lot of improvement since the beginning of the project in this aspect.,"Thanks to the project, a new partnership has been started which will be used in the framework of another European project and I believe that this new alliance will be further developed in the near future."
2024/02/28 11:06:51 am EET,xxxxxx@xxx.xxx,xxxxxx,Use case provider;Solution provider,WP2 - AIDoaRT Data Collection and Representation;WP5 - Integration and Use Case Evaluation;WP6 - Dissemination and Exploitation,SME Industry,1-3 years,1-3 years,1-3 years,xxxxxx,Maritime,Industrial applications,The main challenge has been to monitor the data from the different sensors because of their great heterogeneity and the lack of data availability.,,4,4,4,,4,,4,,4,,4,,4,,Yes,My experiences in the development of this solution have been positive as it was a ready-made tool and several capabilities have been added to it to make it more complete.,No,,Yes,The experience has been very positive as the owners of the tool have helped me at all times and have solved all my questions.,"It was a bit complicated at first until I understood the dynamics, but then I found it to be a very useful tool.",Very good experience because it allows you to define everything you consider appropriate at an early stage of the process and thus always have the focus of the final objective fixed.,"Very good experience, I already knew this part and I still think it has been very positive because I have been able to continue learning about it.","I am not yet experienced enough to add value in them, but they have helped me to learn and discover the full potential of these tools.","Working with data is always complex because it depends on many factors, especially in our case when we work with sensors from very different sources. It is therefore complicated both to obtain the data and to process it.",I think that the framework used in the project is positive because it serves as a link between very different partners and in this way we can collaborate in an orderly way.,,"Although I did not participate in it, a new collaboration with ACO did take place and is being used for another project."
2024/03/06 10:09:39 am EET,xxxxxx@xxx.xxx,xxxxxx,Solution provider,WP4 - AIDOaRT AI-augmented toolkit;WP5 - Integration and Use Case Evaluation,Research Institute,1-3 years,1-3 years,1-3 years,xxxxxx,Research,New knowledge;Cooperations or collaborations;Publications,Cannot think of anything specific.,,3,3,3,,3,,3,,3,,3,,3,,Yes,I don't understand the question.,No,,Yes,Your tool has been good for our research.,I don't think I've used it.,I don't know what this is.,I don't know what this is.,AI methods have worked well in our research.,I don't think I've worked with this.,I don't think I've used it.,,Surely we have future research ideas that were obtained during the project.
2024/03/06 3:12:35 pm EET,xxxxxx@xxx.xxx,xxxxxx,Solution provider,WP4 - AIDOaRT AI-augmented toolkit,University,1-3 years,1-3 years,1-3 years,xxxxxx,Automotive,Technological achievements;Improvements in competence or experience;New knowledge;Publications,"Since I am a doctoral researcher, the key challenge for me was to fully understand the problem we were tasked to solve and the background needed to get to that point.",-,4,4,4,"Search-based software testing (our particular expertise) can be used in many fields, not just within the AIDOaRT project. ",4,-,3,-,3,I got in later than the rest of my team.,3,-,3,-,Yes,Good teams lead to good solutions.,Maybe,"The other in my team implemented it with a UCP, I myself tried but was not successful in solving the UCP problem.",Yes,Our own tool.,-,-,-,"Good, this is where I spent most of my time.","Good, this is where I spent most of my time.",-,-,"It started the basis of my PhD thesis! (specifically, ai-augmented test automation for cps)"
2024/03/07 5:55:31 pm EET,xxxxxx@xxx.xxx,xxxxxx,Solution provider;Academic partner,WP1 - Use Cases Analysis and AIDOaRT Solution Architecture;WP2 - AIDoaRT Data Collection and Representation;WP3 - AIDOaRT Infrastructure and Framework;WP4 - AIDOaRT AI-augmented toolkit;WP5 - Integration and Use Case Evaluation;WP6 - Dissemination and Exploitation;WP7 - Project Management and Coordination,University,3-5 years,15-20 years,1-3 years,xxxxxx,Automotive;Construction,Technological achievements;Improvements in competence or experience;New knowledge;Cooperations or collaborations;Publications,"1) Integration of different heterogeneous modeling resources and modeling tools within a tool suite in order to address a particular industrial challenge. This was overcome by relying on EMF as a core modeling framework and by transforming the different inputs into EMF-compatible models. 
2) Use of some machine learning techniques (Graph Neural Networks, LLMs) to be combined with EMF Views for user recommendation and support. We are still experimenting with these and addressing some related technical issues.",,4,4,5,,4,,3,,5,,3,,3,,Yes,"Overall, it was positive. The fact of experimenting with our tool in the context of an industrial use case allowed us to identify and fix interesting bugs (for instance).",Yes,"We faced some issues (cf. the challenge I mentioned in one of my previous answers), mostly technical ones. However, thanks to the nice collaboration, we managed to find some satisfying work-arounds.",Yes,Cf. my answer to the previous question.,"Overall very good, this is my core area of expertise.","Overall very good as well, I was personally involved in the definition and application of the model-based requirement engineering process we used in the project.","Overall good, I'm used to work following iterative processes in the context of large and complex projects, even though I'm not a DevOps expert.","More complicated but very interesting and enriching (notably in terms of research). Notably, we had the chance to learn on and experiment with machine learning techniques with which we were not familiar prior to the project.","Overall good, we are used to work on such large and complex projects involving heterogeneous data sources, formats, etc. Also, as modelling experts, we are familiar with using models and model-based techniques in order to make such data more homogeneously handled.","Overall very good, I was personally involved in the definition and application of the AIDOaRt framework architecture.",,"With some partners from AIDOaRt, we worked on the successfully funded MATISSE project. We also worked on the follow-up of AIDOaRt, i.e. AIDOSec, that is planned to be resubmitted this year. In this context, we strengthen our relations with several academic and industrial partners with which we already plan to continue to work on future research collaborations."
2024/03/08 9:32:45 am EET,xxxxxx@xxx.xxx,xxxxxx,Solution provider,WP4 - AIDOaRT AI-augmented toolkit;WP5 - Integration and Use Case Evaluation,University,1-3 years,1-3 years,1-3 years,xxxxxx,industrial network solutions,Technical speed-up,Choice of the right algorithm that would provide an improved solution. This was achieved by experiments and analysis of performance.,,5,5,3,,5,,5,,5,,5,,5,,Yes,,Maybe,,No,,This did not apply to me.,This did not apply to me.,It was an interesting experience to develop a solution.,This did not apply to me.,This did not apply to me.,This did not apply to me.,,The collaboration was reached through the project.
2024/03/11 7:15:09 pm EET,xxxxxx@xxx.xxx,xxxxxx,Solution provider,WP1 - Use Cases Analysis and AIDOaRT Solution Architecture;WP2 - AIDoaRT Data Collection and Representation;WP3 - AIDOaRT Infrastructure and Framework;WP4 - AIDOaRT AI-augmented toolkit;WP5 - Integration and Use Case Evaluation;WP6 - Dissemination and Exploitation,SME Industry,5-10 years,5-10 years,1-3 years,xxxxxx,Maritime;Manufacturing;Industrial (Renewable energies),Industrial applications;Improvements in competence or experience;New knowledge;Cooperations or collaborations,"Specific positoning solution with convergence of several tight requirements (cost, accuracy, reliability, suitability to cloud computing architectures); adquire sufficiently expertise to offer exploitable AI/DL based services on the monitoring solutions; envisage of potential applicaiton of DL to more productive embedded SW validation","Lact of data. Even use case providers have difficutlties to access actual data stackeholders. The project organizaiton itself was a big experiment on new ways to collect, reflect and gather the information, and to organize the work, with nice outcomes. But it was different and new in comparison to our previous experiences. It required many teaching and meetings articulated by the core team. A big effort from their size too, which helped a lot the rest of the partners to adapt and get used. We also provided feedback to tries to adjusts some procedures to a more practical approach. I would say overall the result and the working atmosphere (ver, very important too) was very satisfactory.",4,3,3,"I think the architecture draw is synthetic as it is required at the initial touch. A deep understanding required the text related definitions. Even in that case, there are some aspects that can lead to discrepancies or ambiguities (e.g. why explainability service is not in the AI- augmented toolset, which are the differences between data management in data layer and data handling capabilites). On the other hand, those ambiguities can help to adoption by third parties adding specific semantics (in the same way stereotypes do in UML. However, such extension needs consensus, or at least, a careful understanding of a the semantics previosuly defined in AIDOaRt to avoid semantic clashes. ",3,"Not sure. I see as a way to structure information and procedures. Ordering things always help to a clearer and more efficeint work. However, not so sure if a more conventional working way would have not been equally efficient.",3,"We believe that likely yes to other partners. We did not spent much time on it honestly becasue we worked a lot the collaboration with partners at the proposal phase. That eliminates risks and helps for the very first moment. We found more collaboration after work in hackathons, and after partners presentations and interactions at the plenary. The time when the ptential collaborations were identified was likely late for doing something  in AIDOaRt withoug risking the already running collaborations, already effort and time demanding.",5,"Sure. At least we notice it once we could use hackathons to develop different parts of the targeted developments/demonstrators, from conception phase, to final implementations (with Mock Ups, and different demo versions in the middle)",3,"Formalization always help. The point is that from the initial conception towards their final shape, they can vary a lot. In that extend,  using Modelio formalization was used for the first statement, but not for the refined versions I would say. ",2,I would not say we rely on them,Yes,"Nothing different from other ECSEL/KDT projects. The main focus was on our Industrial positioning monitoring solution, which required close collaboration with partners, specially use case provider, and which was always beneficial. ",Maybe,"In principle, we develop solutions oriented to explitations (Services to customer), and tooling for own better productivity, both scenariosn which difficult we integrate the tool or open code. However, it is always beneficial for us integrate the solutions and tools in a ""catalog way"" to be part and let know ACORDE as a EU players with those capabilities.",Maybe,"We opened a new collaboration with ITI, to help them develop an assessment methodology/tool based on their previous development and that can be interesting for assessing new gateway configurations before they are actually deployed.","Good for initial sketching, also for Deliverable former sketching. There are nice features for collaborative modelling. However, the learning curve in a collaborative environment is a big barrier. Not all the people will advance and learn at the same pace, and that also creates additional issues. Moreover, the update of the collaborative model can be a bigger isse in some cases. A clear case is documentation. Feedback from text to model is not straightfoward, nor compatibility with edition tools. ","We have no experience on that, nor we applied much of it. ","This is definitely a hot topic, and unfortunatelly we could not eventually advance much on it in this project, as we found the already commited research, plus the collaboration oportunities open very demanding.","Very good experiences, which confirm the high potential to exploit AI and specifically DL technologies on different type of scenarios relevant for the compant (e.g. monitoring solitions in computing continuum, or virtual platform based design)","We used MDE to document data models, but likely did not fully exploited MDE tooling for other data aspects like data reformating. For that we fould suitable non-MDE applications, which take their configuration files.",Good as a reference framework,"When it comes to project management tools, e.g. meeting,  documentation, etc, an idea could be to let compete new experimental solutions with conventional solutions. Partners will feel free to choose, and new solutions will need to ensure cover conventional features and give added value to get adoption within the project flow. I also suggest shorter plenaries, to let have hackathons in separated clusters, at least once they are clarified (manye not in the 2 former plenaries). Hackathon results could be presened in the plenaries.","Sure. As said, we already worked a lot in the collaboration with some partners, e.g. Prodevelop, at the proposal phase, and AIDOaRt has serve to improve and reinforece a lot that collaboration. The collaboration in the project serve to launch other collaborations, (e.g. ITI) and to further now other companies, institutions and their fields, which is highly considered for furhter potential collaborations."
2024/03/12 3:24:10 pm EET,xxxxxx@xxx.xxx,xxxxxx,Solution provider,WP1 - Use Cases Analysis and AIDOaRT Solution Architecture;WP2 - AIDoaRT Data Collection and Representation;WP3 - AIDOaRT Infrastructure and Framework;WP5 - Integration and Use Case Evaluation;WP6 - Dissemination and Exploitation;WP7 - Project Management and Coordination,University,5-10 years,20-30 years,3-5 years,xxxxxx,Maritime,Industrial applications;Technological achievements;Improvements in competence or experience;Cooperations or collaborations,"Access to actual data was challenging, and adapt it to a processable structure. In tight collaboration with the UC provider, we agreed on a shared data model in order to proceed with the data analysis.",,5,5,5,,5,,5,The AIDOaRt generic meta-model helped identify potential collaborations between two partners who were interested in the same topic/area of logging analysis.,5,,5,,5,,Yes,,Yes,,Yes,,"MDE is our core skill, and developing using this approach helped us in escalating the solution we were integrating.",MBRE helped in centralizing and instrumentalizing the UC requirements. The shared understanding of the different use cases and their end-to-end traceability with the final tools/solutions are key benefits from it.,--,--,We participated in the definition of the AIDOaRt mega-model. The exercise of generalizing the concepts of the different UC data models was exhausting but led to a unified data representation across the diverse AIDOaRt development phases. It helps in understanding the domain concepts of the whole framework and provides traceability with the concrete use cases and UC data models.,The framework provided a scope and a systematic approach to the diverse development phases and domains considered. The structure of the framework and its materialization in actual tools/solutions and their application to use cases allow users to (1) easily identify the different areas of the framework and application possibilities; and (2) identify and consider tool/solution alternatives that have demonstrated their usability in the industry.,,We are in conversations with two other partners (different than the partners we started collaborating with at the beginning of the project in a specific use case scenario) to help them model the data structure of a shared topic of interest.
