,Title
0,RISC-V Processor Technologies for Aerospace Applications in the ISOLDE Project
1,Advantages of Arrowhead Framework for the Machine Tooling Industry
2,Models@run.time for creating in-cloud dynamic cyber-physical ecosystems
3,Quality assurance in software ecosystems: A systematic literature mapping and research agenda
4,Quo vadis cyber-physical systems: Research areas of cyber-physical ecosystems
5,Smart systems of innovation for smart places: Challenges in deploying digital platforms for co-creat
6,NLES: A novel lifetime extension scheme for safety-critical cyber-physical systems using SDN and NFV
7,Internet of Things and Big Data: the disruption of the value chain and the rise of new software ecos
8,PSY-TaLiRo: A Python Toolbox for Search-Based Test Generation for Cyber-Physical Systems
9,Comprehensive assessment of open source software ecosystem health
10,Towards a digital ecosystem for rural areas: Experiences from three years of development
11,Digital Transformation and Innovation and Business Ecosystems: A Bibliometric Analysis for Conceptua
12,Software interoperability analysis in practice - A survey
13,"IoT-big data software ecosystems for smart cities sensing: challenges, open issues, and emerging sol"
14,Automotive software engineering: A systematic mapping study
15,"Elastic systems: Towards cyber-physical ecosystems of people, processes, and things"
16,The challenges of emerging software eco-systems
17,Development of an embedded platform for secure CPS services
18,Automated analysis of feature models: Quo vadis?
19,Design of a multi-sided platform supporting CPS deployment in the automation market
20,"Stakeholders collaborations, challenges and emerging concepts in digital twin ecosystems"
21,A Real-time Linked Dataspace for the Internet of Things: Enabling “Pay-As-You-Go” Data Management in
22,Assurance and certification of cyber–physical systems: The AMASS open source ecosystem
23,"From Systems to Ecosystems: Rethinking Adaptive Safety	adaptive safety, autonomous ecosystems, secur"
24,A Cloud-Based and Dynamic DNS Approach to Enable the Web of Things
