,Title
0,Software interoperability analysis in practice - A survey
1,Automated analysis of feature models: Quo vadis?
2,Comprehensive assessment of open source software ecosystem health
3,Automotive software engineering: A systematic mapping study
4,Digital Transformation and Innovation and Business Ecosystems: A Bibliometric Analysis for Conceptua
5,The challenges of emerging software eco-systems
6,NLES: A novel lifetime extension scheme for safety-critical cyber-physical systems using SDN and NFV
7,Internet of Things and Big Data: the disruption of the value chain and the rise of new software ecos
8,Quality assurance in software ecosystems: A systematic literature mapping and research agenda
9,Towards a digital ecosystem for rural areas: Experiences from three years of development
10,Models@run.time for creating in-cloud dynamic cyber-physical ecosystems
11,"From Systems to Ecosystems: Rethinking Adaptive Safety	adaptive safety, autonomous ecosystems, secur"
12,"Elastic systems: Towards cyber-physical ecosystems of people, processes, and things"
13,Quo vadis cyber-physical systems: Research areas of cyber-physical ecosystems
14,"IoT-big data software ecosystems for smart cities sensing: challenges, open issues, and emerging sol"
15,RISC-V Processor Technologies for Aerospace Applications in the ISOLDE Project
16,Contemporary Challenges when Developing Cyber-Physical Systems of Systems - A Case Study
17,Development of an embedded platform for secure CPS services
18,Digital innovation ecosystems in agri-food: design principles and organizational framework
19,Design of a multi-sided platform supporting CPS deployment in the automation market
20,A Cloud-Based and Dynamic DNS Approach to Enable the Web of Things
21,"Stakeholders collaborations, challenges and emerging concepts in digital twin ecosystems"
22,A Real-time Linked Dataspace for the Internet of Things: Enabling “Pay-As-You-Go” Data Management in
23,Advantages of Arrowhead Framework for the Machine Tooling Industry
24,Smart systems of innovation for smart places: Challenges in deploying digital platforms for co-creat
