,Title
0,A Cloud-Based and Dynamic DNS Approach to Enable the Web of Things
1,Development of an embedded platform for secure CPS services
2,Advantages of Arrowhead Framework for the Machine Tooling Industry
3,Internet of Things and Big Data: the disruption of the value chain and the rise of new software ecos
4,Models@run.time for creating in-cloud dynamic cyber-physical ecosystems
5,The challenges of emerging software eco-systems
6,"Elastic systems: Towards cyber-physical ecosystems of people, processes, and things"
7,Quality assurance in software ecosystems: A systematic literature mapping and research agenda
8,Digital innovation ecosystems in agri-food: design principles and organizational framework
9,"From Systems to Ecosystems: Rethinking Adaptive Safety	adaptive safety, autonomous ecosystems, secur"
10,Digital Transformation and Innovation and Business Ecosystems: A Bibliometric Analysis for Conceptua
11,Quo vadis cyber-physical systems: Research areas of cyber-physical ecosystems
12,"IoT-big data software ecosystems for smart cities sensing: challenges, open issues, and emerging sol"
13,Automotive software engineering: A systematic mapping study
14,Software interoperability analysis in practice - A survey
15,Design of a multi-sided platform supporting CPS deployment in the automation market
16,Automated analysis of feature models: Quo vadis?
17,Towards a digital ecosystem for rural areas: Experiences from three years of development
18,"Stakeholders collaborations, challenges and emerging concepts in digital twin ecosystems"
19,NLES: A novel lifetime extension scheme for safety-critical cyber-physical systems using SDN and NFV
20,A Real-time Linked Dataspace for the Internet of Things: Enabling “Pay-As-You-Go” Data Management in
21,Smart systems of innovation for smart places: Challenges in deploying digital platforms for co-creat
22,Assurance and certification of cyber–physical systems: The AMASS open source ecosystem
23,PSY-TaLiRo: A Python Toolbox for Search-Based Test Generation for Cyber-Physical Systems
24,Comprehensive assessment of open source software ecosystem health
