,Title
0,Towards a digital ecosystem for rural areas: Experiences from three years of development
1,Design of a multi-sided platform supporting CPS deployment in the automation market
2,Smart systems of innovation for smart places: Challenges in deploying digital platforms for co-creat
3,"Stakeholders collaborations, challenges and emerging concepts in digital twin ecosystems"
4,Development of an embedded platform for secure CPS services
5,Digital innovation ecosystems in agri-food: design principles and organizational framework
6,A Real-time Linked Dataspace for the Internet of Things: Enabling “Pay-As-You-Go” Data Management in
7,Assurance and certification of cyber–physical systems: The AMASS open source ecosystem
8,"Elastic systems: Towards cyber-physical ecosystems of people, processes, and things"
9,Modular verification of dynamically adaptive systems
10,Comprehensive assessment of open source software ecosystem health
11,"IoT-big data software ecosystems for smart cities sensing: challenges, open issues, and emerging sol"
12,Quality assurance in software ecosystems: A systematic literature mapping and research agenda
13,Automotive software engineering: A systematic mapping study
14,Quo vadis cyber-physical systems: Research areas of cyber-physical ecosystems
15,Software interoperability analysis in practice - A survey
16,Models@run.time for creating in-cloud dynamic cyber-physical ecosystems
17,The challenges of emerging software eco-systems
18,Digital Transformation and Innovation and Business Ecosystems: A Bibliometric Analysis for Conceptua
19,Internet of Things and Big Data: the disruption of the value chain and the rise of new software ecos
20,NLES: A novel lifetime extension scheme for safety-critical cyber-physical systems using SDN and NFV
21,Advantages of Arrowhead Framework for the Machine Tooling Industry
22,PSY-TaLiRo: A Python Toolbox for Search-Based Test Generation for Cyber-Physical Systems
23,"From Systems to Ecosystems: Rethinking Adaptive Safety	adaptive safety, autonomous ecosystems, secur"
24,A Cloud-Based and Dynamic DNS Approach to Enable the Web of Things
