,Title
0,"From Systems to Ecosystems: Rethinking Adaptive Safety	adaptive safety, autonomous ecosystems, secur"
1,Quo vadis cyber-physical systems: Research areas of cyber-physical ecosystems
2,"IoT-big data software ecosystems for smart cities sensing: challenges, open issues, and emerging sol"
3,Models@run.time for creating in-cloud dynamic cyber-physical ecosystems
4,Digital innovation ecosystems in agri-food: design principles and organizational framework
5,NLES: A novel lifetime extension scheme for safety-critical cyber-physical systems using SDN and NFV
6,A Real-time Linked Dataspace for the Internet of Things: Enabling “Pay-As-You-Go” Data Management in
7,Software interoperability analysis in practice - A survey
8,Contemporary Challenges when Developing Cyber-Physical Systems of Systems - A Case Study
9,Towards a digital ecosystem for rural areas: Experiences from three years of development
10,Comprehensive assessment of open source software ecosystem health
11,Digital Transformation and Innovation and Business Ecosystems: A Bibliometric Analysis for Conceptua
12,Automotive software engineering: A systematic mapping study
13,Quality assurance in software ecosystems: A systematic literature mapping and research agenda
14,"Elastic systems: Towards cyber-physical ecosystems of people, processes, and things"
15,The challenges of emerging software eco-systems
16,Development of an embedded platform for secure CPS services
17,Automated analysis of feature models: Quo vadis?
18,Design of a multi-sided platform supporting CPS deployment in the automation market
19,Internet of Things and Big Data: the disruption of the value chain and the rise of new software ecos
20,"Stakeholders collaborations, challenges and emerging concepts in digital twin ecosystems"
21,Advantages of Arrowhead Framework for the Machine Tooling Industry
22,Smart systems of innovation for smart places: Challenges in deploying digital platforms for co-creat
23,Assurance and certification of cyber–physical systems: The AMASS open source ecosystem
24,PSY-TaLiRo: A Python Toolbox for Search-Based Test Generation for Cyber-Physical Systems
