,Title
0,Comprehensive assessment of open source software ecosystem health
1,Assurance and certification of cyber–physical systems: The AMASS open source ecosystem
2,Design of a multi-sided platform supporting CPS deployment in the automation market
3,Digital Transformation and Innovation and Business Ecosystems: A Bibliometric Analysis for Conceptua
4,Advantages of Arrowhead Framework for the Machine Tooling Industry
5,"Stakeholders collaborations, challenges and emerging concepts in digital twin ecosystems"
6,Development of an embedded platform for secure CPS services
7,Internet of Things and Big Data: the disruption of the value chain and the rise of new software ecos
8,Towards a digital ecosystem for rural areas: Experiences from three years of development
9,The challenges of emerging software eco-systems
10,Modular verification of dynamically adaptive systems
11,"From Systems to Ecosystems: Rethinking Adaptive Safety	adaptive safety, autonomous ecosystems, secur"
12,Smart systems of innovation for smart places: Challenges in deploying digital platforms for co-creat
13,Software interoperability analysis in practice - A survey
14,RISC-V Processor Technologies for Aerospace Applications in the ISOLDE Project
15,Models@run.time for creating in-cloud dynamic cyber-physical ecosystems
16,Quo vadis cyber-physical systems: Research areas of cyber-physical ecosystems
17,Quality assurance in software ecosystems: A systematic literature mapping and research agenda
18,"IoT-big data software ecosystems for smart cities sensing: challenges, open issues, and emerging sol"
19,Automotive software engineering: A systematic mapping study
20,Contemporary Challenges when Developing Cyber-Physical Systems of Systems - A Case Study
21,A Real-time Linked Dataspace for the Internet of Things: Enabling “Pay-As-You-Go” Data Management in
22,"Elastic systems: Towards cyber-physical ecosystems of people, processes, and things"
23,Digital innovation ecosystems in agri-food: design principles and organizational framework
24,A Cloud-Based and Dynamic DNS Approach to Enable the Web of Things
