,Title
0,Quality assurance in software ecosystems: A systematic literature mapping and research agenda
1,"Stakeholders collaborations, challenges and emerging concepts in digital twin ecosystems"
2,Automotive software engineering: A systematic mapping study
3,The challenges of emerging software eco-systems
4,NLES: A novel lifetime extension scheme for safety-critical cyber-physical systems using SDN and NFV
5,Automated analysis of feature models: Quo vadis?
6,"IoT-big data software ecosystems for smart cities sensing: challenges, open issues, and emerging sol"
7,Digital Transformation and Innovation and Business Ecosystems: A Bibliometric Analysis for Conceptua
8,Contemporary Challenges when Developing Cyber-Physical Systems of Systems - A Case Study
9,Internet of Things and Big Data: the disruption of the value chain and the rise of new software ecos
10,Models@run.time for creating in-cloud dynamic cyber-physical ecosystems
11,Comprehensive assessment of open source software ecosystem health
12,PSY-TaLiRo: A Python Toolbox for Search-Based Test Generation for Cyber-Physical Systems
13,Development of an embedded platform for secure CPS services
14,RISC-V Processor Technologies for Aerospace Applications in the ISOLDE Project
15,Quo vadis cyber-physical systems: Research areas of cyber-physical ecosystems
16,Digital innovation ecosystems in agri-food: design principles and organizational framework
17,Software interoperability analysis in practice - A survey
18,"Elastic systems: Towards cyber-physical ecosystems of people, processes, and things"
19,Assurance and certification of cyber–physical systems: The AMASS open source ecosystem
20,Design of a multi-sided platform supporting CPS deployment in the automation market
21,Towards a digital ecosystem for rural areas: Experiences from three years of development
22,A Cloud-Based and Dynamic DNS Approach to Enable the Web of Things
23,"From Systems to Ecosystems: Rethinking Adaptive Safety	adaptive safety, autonomous ecosystems, secur"
24,A Real-time Linked Dataspace for the Internet of Things: Enabling “Pay-As-You-Go” Data Management in
