,Title
0,NLES: A novel lifetime extension scheme for safety-critical cyber-physical systems using SDN and NFV
1,Design of a multi-sided platform supporting CPS deployment in the automation market
2,Models@run.time for creating in-cloud dynamic cyber-physical ecosystems
3,Development of an embedded platform for secure CPS services
4,Assurance and certification of cyber–physical systems: The AMASS open source ecosystem
5,PSY-TaLiRo: A Python Toolbox for Search-Based Test Generation for Cyber-Physical Systems
6,A Real-time Linked Dataspace for the Internet of Things: Enabling “Pay-As-You-Go” Data Management in
7,Quo vadis cyber-physical systems: Research areas of cyber-physical ecosystems
8,Quality assurance in software ecosystems: A systematic literature mapping and research agenda
9,Advantages of Arrowhead Framework for the Machine Tooling Industry
10,Digital Transformation and Innovation and Business Ecosystems: A Bibliometric Analysis for Conceptua
11,The challenges of emerging software eco-systems
12,"IoT-big data software ecosystems for smart cities sensing: challenges, open issues, and emerging sol"
13,Automotive software engineering: A systematic mapping study
14,Software interoperability analysis in practice - A survey
15,"Elastic systems: Towards cyber-physical ecosystems of people, processes, and things"
16,Automated analysis of feature models: Quo vadis?
17,Internet of Things and Big Data: the disruption of the value chain and the rise of new software ecos
18,Towards a digital ecosystem for rural areas: Experiences from three years of development
19,"Stakeholders collaborations, challenges and emerging concepts in digital twin ecosystems"
20,Smart systems of innovation for smart places: Challenges in deploying digital platforms for co-creat
21,"From Systems to Ecosystems: Rethinking Adaptive Safety	adaptive safety, autonomous ecosystems, secur"
22,A Cloud-Based and Dynamic DNS Approach to Enable the Web of Things
23,Digital innovation ecosystems in agri-food: design principles and organizational framework
24,Comprehensive assessment of open source software ecosystem health
