,Title
0,The challenges of emerging software eco-systems
1,PSY-TaLiRo: A Python Toolbox for Search-Based Test Generation for Cyber-Physical Systems
2,Contemporary Challenges when Developing Cyber-Physical Systems of Systems - A Case Study
3,Assurance and certification of cyber–physical systems: The AMASS open source ecosystem
4,Quo vadis cyber-physical systems: Research areas of cyber-physical ecosystems
5,Smart systems of innovation for smart places: Challenges in deploying digital platforms for co-creat
6,NLES: A novel lifetime extension scheme for safety-critical cyber-physical systems using SDN and NFV
7,Models@run.time for creating in-cloud dynamic cyber-physical ecosystems
8,Software interoperability analysis in practice - A survey
9,Development of an embedded platform for secure CPS services
10,Modular verification of dynamically adaptive systems
11,"Elastic systems: Towards cyber-physical ecosystems of people, processes, and things"
12,Design of a multi-sided platform supporting CPS deployment in the automation market
13,Quality assurance in software ecosystems: A systematic literature mapping and research agenda
14,"IoT-big data software ecosystems for smart cities sensing: challenges, open issues, and emerging sol"
15,Automotive software engineering: A systematic mapping study
16,Digital Transformation and Innovation and Business Ecosystems: A Bibliometric Analysis for Conceptua
17,Internet of Things and Big Data: the disruption of the value chain and the rise of new software ecos
18,Towards a digital ecosystem for rural areas: Experiences from three years of development
19,"Stakeholders collaborations, challenges and emerging concepts in digital twin ecosystems"
20,A Real-time Linked Dataspace for the Internet of Things: Enabling “Pay-As-You-Go” Data Management in
21,Advantages of Arrowhead Framework for the Machine Tooling Industry
22,"From Systems to Ecosystems: Rethinking Adaptive Safety	adaptive safety, autonomous ecosystems, secur"
23,A Cloud-Based and Dynamic DNS Approach to Enable the Web of Things
24,Digital innovation ecosystems in agri-food: design principles and organizational framework
