,Title
0,Modular verification of dynamically adaptive systems
1,Automated analysis of feature models: Quo vadis?
2,A Cloud-Based and Dynamic DNS Approach to Enable the Web of Things
3,Quality assurance in software ecosystems: A systematic literature mapping and research agenda
4,Quo vadis cyber-physical systems: Research areas of cyber-physical ecosystems
5,Models@run.time for creating in-cloud dynamic cyber-physical ecosystems
6,Comprehensive assessment of open source software ecosystem health
7,A Real-time Linked Dataspace for the Internet of Things: Enabling “Pay-As-You-Go” Data Management in
8,Design of a multi-sided platform supporting CPS deployment in the automation market
9,Contemporary Challenges when Developing Cyber-Physical Systems of Systems - A Case Study
10,RISC-V Processor Technologies for Aerospace Applications in the ISOLDE Project
11,The challenges of emerging software eco-systems
12,"IoT-big data software ecosystems for smart cities sensing: challenges, open issues, and emerging sol"
13,Automotive software engineering: A systematic mapping study
14,Software interoperability analysis in practice - A survey
15,Development of an embedded platform for secure CPS services
16,"Elastic systems: Towards cyber-physical ecosystems of people, processes, and things"
17,Towards a digital ecosystem for rural areas: Experiences from three years of development
18,Internet of Things and Big Data: the disruption of the value chain and the rise of new software ecos
19,"Stakeholders collaborations, challenges and emerging concepts in digital twin ecosystems"
20,NLES: A novel lifetime extension scheme for safety-critical cyber-physical systems using SDN and NFV
21,Advantages of Arrowhead Framework for the Machine Tooling Industry
22,Smart systems of innovation for smart places: Challenges in deploying digital platforms for co-creat
23,Assurance and certification of cyber–physical systems: The AMASS open source ecosystem
24,PSY-TaLiRo: A Python Toolbox for Search-Based Test Generation for Cyber-Physical Systems
